NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04640194,A Study to Test Whether Different Doses of Alteplase Help People With Severe Breathing Problems Because of COVID-19,https://clinicaltrials.gov/study/NCT04640194,Completed,Acute Respiratory Distress Syndrome,PROCEDURE: Standard of care|DRUG: Alteplase low dose|DRUG: Alteplase high dose,Boehringer Ingelheim,Not available,INTERVENTIONAL
NCT04638790,First Line Chemotherapy for Classical Hodgkin Lymphoma in Russia (HL-Russia-1),https://clinicaltrials.gov/study/NCT04638790,Recruiting,"Hodgkin Lymphoma, Adult",DRUG: Doxorubicin|DRUG: Bleomycin|DRUG: Vinblastine|DRUG: Dacarbazine|DRUG: Etoposide|DRUG: Doxorubicin|DRUG: Cyclophosphamide|DRUG: Vincristine|DRUG: Dexamethasone|DRUG: Dacarbazine,"State Budgetary Healthcare Institution, National Medical Surgical Center N.A. N.I. Pirogov, Ministry of Health of Russia",Not available,INTERVENTIONAL
NCT04638647,Secukinumab Open Label Roll-over Extension Protocol,https://clinicaltrials.gov/study/NCT04638647,Recruiting,"Autoimmunity, Inflammation",BIOLOGICAL: Secukinumab s.c. injection,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT04636398,Postnatal mHealth Intervention Development,https://clinicaltrials.gov/study/NCT04636398,Completed,"Health Attitude|Knowledge, Attitudes, Practice|Postpartum Depression|Acceptability of Health Care",BEHAVIORAL: MESSAGE - mHealth intervention,"University of California, San Francisco","University of California, Los Angeles|Post Graduate Institute of Medical Education and Research, Chandigarh|Indraprastha Institute of Information Technology Delhi|Survival for Women and Children Foundation|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)",INTERVENTIONAL
NCT04634214,The Severity of COVID 19 in Diabetes and Non-diabetes Patients,https://clinicaltrials.gov/study/NCT04634214,Unknown,Covid19|Type2 Diabetes,Not available,India Diabetes Research Foundation & Dr. A. Ramachandran's Diabetes Hospitals,Not available,OBSERVATIONAL
NCT04633564,"MYL-1402O Compared With Avastin®, in Patients With Stage IV nsNSCLC",https://clinicaltrials.gov/study/NCT04633564,Completed,NSCLC Stage IV,BIOLOGICAL: Bevacizumab as MYL-1402O|BIOLOGICAL: Bevacizumab as Avastin,Mylan Pharmaceuticals Inc,Not available,INTERVENTIONAL
NCT04630119,"Prospective Analysis of Quality of Life, Presenteeism, and Emotional Health Due to Chronic Neck Pain in Homemakers",https://clinicaltrials.gov/study/NCT04630119,Completed,Chronic Neck Pain,"OTHER: Questionnaires on quality of life, emotional health and presenteeism","National Institute of Mental Health and Neuro Sciences, India",Not available,OBSERVATIONAL
NCT04629820,PROductivity Study of Presbyopia Elimination in Rural-dwellers II,https://clinicaltrials.gov/study/NCT04629820,Recruiting,Presbyopia,DEVICE: Spectacles,"Queen's University, Belfast","VisionSpring|University of Michigan|Good Business Lab|Zhongshan Ophthalmic Center, Sun Yat-sen University|Clearly",INTERVENTIONAL
NCT04629352,Effect of Neuroplasticity Modulation in tDCS Treatment Response Among Schizophrenia Patients With Auditory Hallucination,https://clinicaltrials.gov/study/NCT04629352,Recruiting,Schizophrenia|Schizoaffective Disorder,DEVICE: Verum Accelerated Transcranial Direct Current Stimulation (acctDCS)|DEVICE: Sham Accelerated Transcranial Direct Current Stimulation (acctDCS),"National Institute of Mental Health and Neuro Sciences, India",Not available,INTERVENTIONAL
NCT04628572,Retrospective Analysis of Real World Use of Ceftazidime-avibactam in the Management of Gram Negative Infections,https://clinicaltrials.gov/study/NCT04628572,Completed,Gram Negative Infections,DRUG: Ceftazidime-avibactam,Pfizer,Not available,OBSERVATIONAL
